Name,FileName,StartTime,EndTime,Type,Loop,Description
orgasm,2,00:00:00.000,00:00:11.004,reaction,false,
damage_lv1,2,00:00:11.304,00:00:15.504,reaction,false,
damage_lv2,2,00:00:15.704,00:00:20.704,reaction,false,
damage_lv3,2,00:00:21.121,00:00:30.217,reaction,false,
stance,2,00:00:30.504,00:00:39.304,gallery,true,
hypno_lv1,2,00:00:39.706,00:00:44.706,gallery,true,
hypno_lv2,2,00:00:45.006,00:00:50.006,gallery,true,
hypno_lv3,2,00:00:50.206,00:00:55.006,gallery,true,
Bind,2,00:00:55.206,00:01:02.374,gallery,true,
Paralysis,2,00:01:02.540,00:01:07.308,gallery,true,
Stun,2,00:01:07.558,00:01:12.558,reaction,loop,
Stroking,2,00:01:12.891,00:01:22.141,reaction,false,
Nothing,2,00:1:22.891,00:01:25.141,gallery,true,
